lag,f_stat,p_value,direction
1,0.10578557641687965,0.7451668222000696,UNRATE_to_SPY
2,0.49263094015505926,0.611395455499104,UNRATE_to_SPY
3,0.40321709627898583,0.7507689372339833,UNRATE_to_SPY
4,0.4894521894040253,0.7435000987337257,UNRATE_to_SPY
5,0.6347142574279019,0.6733581840723046,UNRATE_to_SPY
6,0.5754563595952311,0.7499205663674157,UNRATE_to_SPY
7,0.41600346579522507,0.8922990936297461,UNRATE_to_SPY
8,0.5167886711994635,0.8438535677078939,UNRATE_to_SPY
9,0.5936084903144819,0.8023975543424204,UNRATE_to_SPY
10,0.6097210074474516,0.8057026264891255,UNRATE_to_SPY
11,0.5447401396284048,0.8722600734051077,UNRATE_to_SPY
12,0.5271695531035647,0.8969880235231833,UNRATE_to_SPY
