signal,signal_column,threshold,strategy,lead_months,direction,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
level,unrate,T_roll_p75,P1_long_cash,0,countercyclical,0.6393114794905177,0.6393114794905177,0.7953419994550297,0.26868750543286435,0.08477144569750994,0.14390712254945504,-0.31550200133400463,0.5663716814159292,0.6371681415929203,113,113,True
level,unrate,T_roll_p75,P1_long_cash,1,countercyclical,0.7388848051572124,0.7388848051572124,0.946714160680677,0.4174579655409259,0.10309764875822469,0.148112051966486,-0.24696534086883393,0.5663716814159292,0.6371681415929203,113,113,True
level,unrate,T_roll_p75,P1_long_cash,2,countercyclical,0.6737302389974084,0.6737302389974084,0.8589051718590102,0.3826039546465007,0.09154631992959827,0.14634692953212233,-0.23927175560477587,0.5663716814159292,0.6371681415929203,113,113,True
level,unrate,T_roll_p75,P1_long_cash,3,countercyclical,0.792926755999107,0.792926755999107,1.004355054017714,0.4634150741718295,0.11088213837081096,0.1467057042699532,-0.23927175560477565,0.584070796460177,0.6371681415929203,113,113,True
level,unrate,T_roll_p75,P1_long_cash,6,countercyclical,0.6940518142905243,0.6940518142905243,0.8780004965833565,0.3519011542889581,0.09422374096818475,0.14542687326271214,-0.2677562713841354,0.584070796460177,0.3185840707964602,113,113,True
level,unrate,T_roll_p75,P1_long_cash,9,countercyclical,0.8779057536287967,0.8779057536287967,1.1848141999557202,0.6356288268928292,0.12869565241508418,0.15158946621655545,-0.20246981724254465,0.6106194690265486,0.21238938053097348,113,113,True
level,unrate,T_roll_p75,P1_long_cash,12,countercyclical,1.0840055021828259,1.0840055021828259,1.5020223514310733,0.8098344367461133,0.15749392827227626,0.14539668563086572,-0.19447669934249945,0.6194690265486725,0.21238938053097348,113,113,True
level,unrate,T_roll_p75,P1_long_cash,0,procyclical,0.9686826441140043,0.9686826441140043,1.2978659898774194,1.2830537717088695,0.07883526399106566,0.08184652570860393,-0.061443460694610486,0.168141592920354,0.42477876106194695,113,113,True
level,unrate,T_roll_p75,P1_long_cash,1,procyclical,0.886378051381442,0.886378051381442,1.1531660716189023,1.0304347558128686,0.06331347741714843,0.07224122222379423,-0.061443460694610375,0.1592920353982301,0.3185840707964602,113,113,True
level,unrate,T_roll_p75,P1_long_cash,2,procyclical,0.825787120403262,0.825787120403262,1.0460648424837993,0.9347322966378802,0.05743318712845258,0.07066105782354905,-0.061443460694610486,0.1504424778761062,0.3185840707964602,113,113,True
level,unrate,T_roll_p75,P1_long_cash,3,procyclical,0.6759494640584731,0.6759494640584731,0.8232865085227234,0.5401051596695041,0.04728468600209523,0.07215782689772796,-0.0875471843872575,0.13274336283185842,0.3185840707964602,113,113,True
level,unrate,T_roll_p75,P1_long_cash,6,procyclical,0.7133264629468883,0.7133264629468883,0.7907634013694422,0.9838926829310435,0.04858419430678973,0.06990103385729607,-0.04937956664344334,0.11504424778761062,0.3185840707964602,113,113,True
level,unrate,T_roll_p75,P1_long_cash,9,procyclical,0.4259623901957634,0.4259623901957634,0.306965623541442,0.2452630021697205,0.019793116363009178,0.0487834850371478,-0.08070159864271931,0.08849557522123894,0.3185840707964602,113,113,True
level,unrate,T_roll_p75,P1_long_cash,12,procyclical,-0.02614391836124071,-0.02614391836124071,-0.03199467449832571,-0.01695431613940233,-0.003387699051871751,0.06008728086645031,-0.19981337047258652,0.07964601769911504,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,0,countercyclical,0.840266894015766,0.840266894015766,1.1392298599596666,0.5054626884934753,0.12094294486854373,0.14985975766498125,-0.23927175560477576,0.6548672566371682,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,1,countercyclical,0.921667271403629,0.921667271403629,1.2886054825515123,0.5780546688095102,0.1383121554415887,0.1541282361366407,-0.23927175560477576,0.6637168141592921,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,2,countercyclical,0.8961686165416038,0.8961686165416038,1.2249269163667784,0.5494891435307449,0.13147723205836592,0.1512696653169341,-0.23927175560477576,0.6637168141592921,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,3,countercyclical,0.8839039848929096,0.8839039848929096,1.2039024059219698,0.5400577724970045,0.12922057135336273,0.1510481629587791,-0.23927175560477554,0.6637168141592921,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,6,countercyclical,0.8909395466625087,0.8909395466625087,1.2537075052386617,0.5525772060553285,0.1322161182000403,0.15322031754253856,-0.23927175560477565,0.6637168141592921,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,9,countercyclical,0.8985277971572919,0.8985277971572919,1.3060504209698043,0.5697456097374936,0.13632403229000345,0.15653417460187358,-0.23927175560477565,0.6548672566371682,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,12,countercyclical,0.9403529428371991,0.9403529428371991,1.3479616888940689,0.5980031208892702,0.14308525659231064,0.15583357357776628,-0.23927175560477576,0.6548672566371682,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,0,procyclical,0.5524472801168422,0.5524472801168422,0.0,0.7774112771506237,0.029109191033985793,0.05451687107592349,-0.0374437468165848,0.04424778761061947,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,1,procyclical,0.3777148800321917,0.3777148800321917,0.4374820207781469,0.21818888585433466,0.01340628023199164,0.03702512172668417,-0.061443460694610375,0.035398230088495575,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,2,procyclical,0.42003465537386014,0.42003465537386014,0.6372488327726316,0.31782017598648893,0.01952797149118002,0.04875017645263008,-0.061443460694610486,0.035398230088495575,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,3,procyclical,0.45213897023746225,0.45213897023746225,0.7037361098437008,0.35097990420074077,0.021565419948356368,0.04982498433088759,-0.061443460694610486,0.035398230088495575,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,6,procyclical,0.4649766739602245,0.4649766739602245,0.5223329687966501,0.7565231206543688,0.018862625823445,0.04200178439127321,-0.02493331044149638,0.035398230088495575,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,9,procyclical,0.6020828012860164,0.6020828012860164,0.0,1.4895525124335542,0.015179345335288641,0.025560575953599594,-0.010190540587581842,0.04424778761061947,0.21238938053097348,113,113,True
level,unrate,T_roll_p90,P1_long_cash,12,procyclical,0.34872666083983705,0.34872666083983705,0.0,0.19685878649709482,0.00917467051221954,0.027245782493119052,-0.04660533916455356,0.04424778761061947,0.21238938053097348,113,113,True
level,unrate,T_roll_p25,P1_long_cash,0,countercyclical,0.4536198729205272,0.4536198729205272,0.42520064257890816,0.1864866948518634,0.04444134121280574,0.10917960576602097,-0.23830837501896818,0.36283185840707965,0.3185840707964602,113,113,True
level,unrate,T_roll_p25,P1_long_cash,1,countercyclical,0.2619866804151968,0.2619866804151968,0.19858159126983213,0.06695393307347046,0.023940775082055055,0.11659982615945906,-0.3575708548112351,0.35398230088495575,0.3185840707964602,113,113,True
level,unrate,T_roll_p25,P1_long_cash,2,countercyclical,0.3995769793350824,0.3995769793350824,0.3564006251865534,0.20257593088540451,0.041798225919005505,0.12091762218044923,-0.2063336238235055,0.36283185840707965,0.3185840707964602,113,113,True
level,unrate,T_roll_p25,P1_long_cash,3,countercyclical,0.4165137575730054,0.4165137575730054,0.37904908977624496,0.22765190475866082,0.0442729910364974,0.1220380212517496,-0.19447669934249945,0.36283185840707965,0.3185840707964602,113,113,True
level,unrate,T_roll_p25,P1_long_cash,6,countercyclical,0.7076373854851175,0.7076373854851175,0.6725759304023791,0.41901693216842595,0.08148902993673546,0.12143280361183945,-0.19447669934249945,0.40707964601769914,0.3185840707964602,113,113,True
level,unrate,T_roll_p25,P1_long_cash,9,countercyclical,0.7474037809309597,0.7474037809309597,0.7950803700606508,0.4465447502384525,0.08684254913509504,0.1215855434756097,-0.19447669934249945,0.415929203539823,0.3185840707964602,113,113,True
level,unrate,T_roll_p25,P1_long_cash,12,countercyclical,0.9133861825973305,0.9133861825973305,0.9301099551452051,0.550432227116583,0.10704624274137409,0.11954827523914047,-0.19447669934249945,0.45132743362831856,0.3185840707964602,113,113,True
level,unrate,T_roll_p25,P1_long_cash,0,procyclical,0.9756257648169737,0.9756257648169737,1.2560997656088981,0.927425664729266,0.11580878053514798,0.12004498215128742,-0.12487122681574148,0.36283185840707965,0.9557522123893806,113,113,True
level,unrate,T_roll_p25,P1_long_cash,1,procyclical,1.1846571331732085,1.1846571331732085,2.17370612976909,1.3376360820822257,0.1352536671789759,0.11283213658518912,-0.10111394944463059,0.37168141592920356,0.9557522123893806,113,113,True
level,unrate,T_roll_p25,P1_long_cash,2,procyclical,1.1014119330761125,1.1014119330761125,1.5928109207631456,0.910489316021518,0.11823963108550739,0.10699811860759813,-0.12986383146390812,0.36283185840707965,0.9557522123893806,113,113,True
level,unrate,T_roll_p25,P1_long_cash,3,procyclical,0.9060323351059284,0.9060323351059284,1.2905338993543387,0.474066258709645,0.09464168195165001,0.10625053150298334,-0.19963808900733415,0.34513274336283184,0.9557522123893806,113,113,True
level,unrate,T_roll_p25,P1_long_cash,6,procyclical,0.7604159924438335,0.7604159924438335,0.9707070488789736,0.4021920272120183,0.08036334453443561,0.10970629904934644,-0.19981337047258652,0.3185840707964602,0.9557522123893806,113,113,True
level,unrate,T_roll_p25,P1_long_cash,9,procyclical,0.746150707149016,0.746150707149016,0.7926405476887886,0.3297815222000055,0.07890740378281058,0.1101057625502864,-0.23927175560477554,0.30973451327433627,0.9557522123893806,113,113,True
level,unrate,T_roll_p25,P1_long_cash,12,procyclical,0.6315513904102764,0.6315513904102764,0.6894486880040543,0.2796771496882383,0.06691884260844438,0.11274808748730458,-0.23927175560477554,0.2831858407079646,0.9557522123893806,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,0,countercyclical,1.0335011400420004,1.0335011400420004,1.38180014085513,0.7646033436552744,0.13220138018311056,0.12867537608620827,-0.1729019121877059,0.5398230088495575,5.3097345132743365,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,1,countercyclical,0.75109304462115,0.75109304462115,0.865634591035091,0.4594545803297335,0.09655052876134729,0.13533084701164802,-0.21014161768080875,0.5132743362831859,5.3097345132743365,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,2,countercyclical,0.6752965403373299,0.6752965403373299,0.8540817687708745,0.33901288258574747,0.09045941021064574,0.14389692898393505,-0.26683177795689106,0.48672566371681414,5.3097345132743365,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,3,countercyclical,0.6229313502218577,0.6229313502218577,0.8118109292842677,0.3756700317001207,0.0820388797356344,0.1433499387151529,-0.21838015495769458,0.504424778761062,5.3097345132743365,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,6,countercyclical,0.6611814841427895,0.6611814841427895,0.7420496845790322,0.263206616715459,0.0813348306652193,0.1318306278079012,-0.3090151443766582,0.5221238938053098,5.3097345132743365,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,9,countercyclical,0.5229108941545264,0.5229108941545264,0.6154227096617908,0.24332201679872015,0.06586089364311731,0.14137087121092087,-0.27067379479103404,0.4690265486725664,5.415929203539823,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,12,countercyclical,0.762565474051699,0.762565474051699,0.9893878142676373,0.4943588075329593,0.10517154473332191,0.1454260975108178,-0.21274334174032095,0.5132743362831859,5.20353982300885,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,0,procyclical,0.6385365606544835,0.6385365606544835,0.6239510227364812,0.3085775144229554,0.07390035363516945,0.12391769052382097,-0.2394871634550697,0.36283185840707965,6.477876106194691,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,1,procyclical,0.7767615544869514,0.7767615544869514,0.8867652599359038,0.7001054295664906,0.08394284584084755,0.1120582622376844,-0.11990029257854129,0.3805309734513274,6.371681415929204,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,2,procyclical,0.659525526576845,0.659525526576845,0.5891133459589722,0.2864899473682157,0.07170061652787907,0.1153890149550734,-0.25027271353338176,0.3805309734513274,6.477876106194691,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,3,procyclical,0.9535237653676975,0.9535237653676975,0.7995654839522626,0.5605138119798551,0.10900687608972448,0.11597200508934784,-0.19447669934249934,0.40707964601769914,6.371681415929204,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,6,procyclical,1.096630518625686,1.096630518625686,1.4503612561015564,0.8297938373440732,0.12535556494235034,0.11397782582380077,-0.15106832480652876,0.3805309734513274,6.371681415929204,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,9,procyclical,0.8451265089298556,0.8451265089298556,0.9199763402860165,0.6985871865413117,0.0907700381112122,0.11025094571562699,-0.12993372890306287,0.37168141592920356,6.5840707964601775,113,113,True
mom,unrate_mom,T0_zero,P1_long_cash,12,procyclical,1.0131047134318765,1.0131047134318765,0.9244155787014665,0.6941308661354014,0.11313767395790308,0.11244757124743184,-0.1629918499198878,0.3893805309734513,6.477876106194691,113,113,True
mom,unrate_mom,T_roll_p75,P1_long_cash,0,countercyclical,0.9422925294540963,0.9422925294540963,1.3025694470731526,0.7070431892822274,0.12224911942619143,0.13215616928315502,-0.17290191218770623,0.5486725663716814,4.88495575221239,113,113,True
mom,unrate_mom,T_roll_p75,P1_long_cash,1,countercyclical,0.7420954565296056,0.7420954565296056,0.8705033853257939,0.4887583788673088,0.09554755936848003,0.13581770256899742,-0.19549037622620458,0.5309734513274337,4.88495575221239,113,113,True
mom,unrate_mom,T_roll_p75,P1_long_cash,2,countercyclical,0.6108552050051826,0.6108552050051826,0.7590118189895293,0.3077200807227075,0.08210949625227815,0.1472308628933773,-0.2668317779568913,0.504424778761062,4.88495575221239,113,113,True
mom,unrate_mom,T_roll_p75,P1_long_cash,3,countercyclical,0.6839896348851756,0.6839896348851756,0.9080073374485904,0.4774826914056124,0.09270400194375594,0.1454167120893808,-0.19415154436458026,0.5221238938053098,4.88495575221239,113,113,True
