trade_date,side,instrument,quantity_pct,commission_bps,signal_value,threshold_value,position_before,position_after,reason
1997-09-30,BUY,SPY,100.0,5,0.10000000000000053,-0.02499999999999991,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
1997-10-31,SELL,SPY,100.0,5,-0.20000000000000018,-0.04999999999999982,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
1997-11-30,BUY,SPY,100.0,5,0.10000000000000053,0.0,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
1998-01-31,SELL,SPY,100.0,5,-0.10000000000000053,0.0,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
1999-04-30,BUY,SPY,100.0,5,-0.09999999999999964,-0.09999999999999964,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
1999-06-30,SELL,SPY,100.0,5,-0.10000000000000053,-0.09999999999999964,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
1999-07-31,BUY,SPY,100.0,5,0.20000000000000018,-0.09999999999999964,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
1999-09-30,SELL,SPY,100.0,5,-0.09999999999999964,-0.07499999999999973,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
2000-04-30,BUY,SPY,100.0,5,0.0,0.0,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
2000-05-31,SELL,SPY,100.0,5,-0.20000000000000018,0.0,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
2000-06-30,BUY,SPY,100.0,5,0.0,0.0,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
2000-07-31,SELL,SPY,100.0,5,-0.20000000000000018,0.0,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
2001-03-31,BUY,SPY,100.0,5,0.0,-0.07499999999999973,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
2001-06-30,SELL,SPY,100.0,5,-0.10000000000000009,-0.09999999999999964,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
2001-07-31,BUY,SPY,100.0,5,0.10000000000000009,-0.07499999999999973,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
2001-08-31,SELL,SPY,100.0,5,-0.10000000000000009,-0.09999999999999964,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
2001-10-31,BUY,SPY,100.0,5,0.20000000000000018,-0.09999999999999964,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
2003-03-31,SELL,SPY,100.0,5,0.09999999999999964,0.2250000000000001,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
2004-01-31,BUY,SPY,100.0,5,0.2999999999999998,0.2999999999999998,0.0,1.0,chg_6m procyclical rule crossed T_roll_p75
2004-02-29,SELL,SPY,100.0,5,0.1999999999999993,0.2999999999999998,1.0,0.0,chg_6m procyclical rule crossed T_roll_p75
