signal,horizon,method,correlation,p_value,n
vix_ratio,spy_fwd_1d,Pearson,0.0196,0.1675,4955
vix_ratio,spy_fwd_5d,Pearson,0.0174,0.2218,4951
vix_ratio,spy_fwd_21d,Pearson,0.0209,0.1417,4935
vix_ratio,spy_fwd_63d,Pearson,0.0448,0.0017,4893
vix_ratio_zscore_252d,spy_fwd_1d,Pearson,0.0158,0.2773,4756
vix_ratio_zscore_252d,spy_fwd_5d,Pearson,0.0134,0.3571,4752
vix_ratio_zscore_252d,spy_fwd_21d,Pearson,0.0173,0.2342,4736
vix_ratio_zscore_252d,spy_fwd_63d,Pearson,0.0597,0.0,4694
vix_ratio_zscore_126d,spy_fwd_1d,Pearson,0.0149,0.2976,4856
vix_ratio_zscore_126d,spy_fwd_5d,Pearson,0.0212,0.1392,4852
vix_ratio_zscore_126d,spy_fwd_21d,Pearson,0.0194,0.1778,4836
vix_ratio_zscore_126d,spy_fwd_63d,Pearson,0.0509,0.0004,4794
vix_ratio_roc_5d,spy_fwd_1d,Pearson,0.0252,0.0766,4950
vix_ratio_roc_5d,spy_fwd_5d,Pearson,0.0388,0.0064,4946
vix_ratio_roc_5d,spy_fwd_21d,Pearson,-0.0199,0.1621,4930
vix_ratio_roc_5d,spy_fwd_63d,Pearson,0.0127,0.3742,4888
vix_ratio_roc_21d,spy_fwd_1d,Pearson,-0.0067,0.6403,4934
vix_ratio_roc_21d,spy_fwd_5d,Pearson,-0.0261,0.0667,4930
vix_ratio_roc_21d,spy_fwd_21d,Pearson,-0.0157,0.272,4914
vix_ratio_roc_21d,spy_fwd_63d,Pearson,0.027,0.0594,4872
vix_ratio_mom_5d,spy_fwd_1d,Pearson,0.0313,0.0278,4950
vix_ratio_mom_5d,spy_fwd_5d,Pearson,0.0397,0.0052,4946
vix_ratio_mom_5d,spy_fwd_21d,Pearson,-0.0204,0.1529,4930
vix_ratio_mom_5d,spy_fwd_63d,Pearson,0.0115,0.4232,4888
vix_ratio_mom_21d,spy_fwd_1d,Pearson,-0.0071,0.6193,4934
vix_ratio_mom_21d,spy_fwd_5d,Pearson,-0.0255,0.073,4930
vix_ratio_mom_21d,spy_fwd_21d,Pearson,-0.0185,0.1952,4914
vix_ratio_mom_21d,spy_fwd_63d,Pearson,0.0304,0.0339,4872
vix_ratio_pctrank_252d,spy_fwd_1d,Pearson,0.0111,0.4451,4704
vix_ratio_pctrank_252d,spy_fwd_5d,Pearson,0.0214,0.1421,4700
vix_ratio_pctrank_252d,spy_fwd_21d,Pearson,0.0387,0.0081,4684
vix_ratio_pctrank_252d,spy_fwd_63d,Pearson,0.0715,0.0,4642
vix_ratio_vol_21d,spy_fwd_1d,Pearson,-0.0057,0.6901,4940
vix_ratio_vol_21d,spy_fwd_5d,Pearson,-0.015,0.2926,4936
vix_ratio_vol_21d,spy_fwd_21d,Pearson,-0.0177,0.2148,4920
vix_ratio_vol_21d,spy_fwd_63d,Pearson,-0.0064,0.6526,4878
vix_backwardation,spy_fwd_1d,Pearson,0.0077,0.5859,4955
vix_backwardation,spy_fwd_5d,Pearson,0.0278,0.0502,4951
vix_backwardation,spy_fwd_21d,Pearson,0.0502,0.0004,4935
vix_backwardation,spy_fwd_63d,Pearson,0.0459,0.0013,4893
vix_term_spread,spy_fwd_1d,Pearson,-0.0377,0.008,4955
vix_term_spread,spy_fwd_5d,Pearson,-0.0064,0.653,4951
vix_term_spread,spy_fwd_21d,Pearson,0.0009,0.9504,4935
vix_term_spread,spy_fwd_63d,Pearson,-0.0103,0.4709,4893
