signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,valid,lead_source
S1_ratio,T1_p25,P2,vix_ratio,0,0.9888,-15.14,True,pipeline
S1_ratio,T1_p50,P2,vix_ratio,0,0.9888,-15.14,True,pipeline
S1_ratio,T1_p75,P1,vix_ratio,0,1.0251,-23.78,True,pipeline
S1_ratio,T1_p75,P2,vix_ratio,0,0.9888,-15.14,True,pipeline
S1_ratio,T2_rp25,P2,vix_ratio,0,0.9888,-15.14,True,pipeline
S1_ratio,T2_rp50,P2,vix_ratio,0,0.9888,-15.14,True,pipeline
S1_ratio,T2_rp75,P1,vix_ratio,0,0.946,-19.59,True,pipeline
S1_ratio,T2_rp75,P2,vix_ratio,0,0.9888,-15.14,True,pipeline
S1_ratio,T4_unity,P1,vix_ratio,0,0.9676,-29.03,True,pipeline
S1_ratio,T4_unity,P2,vix_ratio,0,0.9888,-15.14,True,pipeline
S1_ratio,T1_p25,P2,vix_ratio,1,1.0219,-16.98,True,pipeline
S1_ratio,T1_p50,P2,vix_ratio,1,1.0219,-16.98,True,pipeline
S1_ratio,T1_p75,P1,vix_ratio,1,0.9225,-25.6,True,pipeline
S1_ratio,T1_p75,P2,vix_ratio,1,1.0219,-16.98,True,pipeline
S1_ratio,T2_rp25,P2,vix_ratio,1,1.0219,-16.98,True,pipeline
S1_ratio,T2_rp50,P2,vix_ratio,1,1.0219,-16.98,True,pipeline
S1_ratio,T2_rp75,P1,vix_ratio,1,0.843,-26.38,True,pipeline
S1_ratio,T2_rp75,P2,vix_ratio,1,1.0219,-16.98,True,pipeline
S1_ratio,T4_unity,P1,vix_ratio,1,0.7475,-34.15,True,pipeline
S1_ratio,T4_unity,P2,vix_ratio,1,1.0219,-16.98,True,pipeline
S1_ratio,T1_p25,P2,vix_ratio,5,0.9791,-18.26,True,pipeline
S1_ratio,T1_p50,P2,vix_ratio,5,0.9791,-18.26,True,pipeline
S1_ratio,T1_p75,P1,vix_ratio,5,0.6447,-25.03,True,pipeline
S1_ratio,T1_p75,P2,vix_ratio,5,0.9791,-18.26,True,pipeline
S1_ratio,T2_rp25,P2,vix_ratio,5,0.9791,-18.26,True,pipeline
S1_ratio,T2_rp50,P2,vix_ratio,5,0.9791,-18.26,True,pipeline
S1_ratio,T2_rp75,P1,vix_ratio,5,0.521,-32.42,True,pipeline
S1_ratio,T2_rp75,P2,vix_ratio,5,0.9791,-18.26,True,pipeline
S1_ratio,T4_unity,P1,vix_ratio,5,0.8004,-26.21,True,pipeline
S1_ratio,T4_unity,P2,vix_ratio,5,0.9791,-18.26,True,pipeline
S1_ratio,T1_p25,P2,vix_ratio,21,0.6206,-20.26,True,pipeline
S1_ratio,T1_p50,P2,vix_ratio,21,0.6206,-20.26,True,pipeline
S1_ratio,T1_p75,P1,vix_ratio,21,0.3611,-34.0,True,pipeline
S1_ratio,T1_p75,P2,vix_ratio,21,0.6206,-20.26,True,pipeline
S1_ratio,T2_rp25,P2,vix_ratio,21,0.6206,-20.26,True,pipeline
S1_ratio,T2_rp50,P2,vix_ratio,21,0.6206,-20.26,True,pipeline
S1_ratio,T2_rp75,P1,vix_ratio,21,0.5047,-31.96,True,pipeline
S1_ratio,T2_rp75,P2,vix_ratio,21,0.6206,-20.26,True,pipeline
S1_ratio,T4_unity,P1,vix_ratio,21,0.6531,-31.51,True,pipeline
S1_ratio,T4_unity,P2,vix_ratio,21,0.6206,-20.26,True,pipeline
S1_ratio,T1_p25,P1,vix_ratio,63,0.1628,-30.51,True,pipeline
S1_ratio,T1_p25,P2,vix_ratio,63,0.6299,-30.18,True,pipeline
S1_ratio,T1_p50,P2,vix_ratio,63,0.6299,-30.18,True,pipeline
S1_ratio,T1_p75,P1,vix_ratio,63,0.5344,-33.72,True,pipeline
S1_ratio,T1_p75,P2,vix_ratio,63,0.6299,-30.18,True,pipeline
S1_ratio,T2_rp25,P2,vix_ratio,63,0.6299,-30.18,True,pipeline
S1_ratio,T2_rp50,P2,vix_ratio,63,0.6299,-30.18,True,pipeline
S1_ratio,T2_rp75,P1,vix_ratio,63,0.6591,-33.72,True,pipeline
S1_ratio,T2_rp75,P2,vix_ratio,63,0.6299,-30.18,True,pipeline
S1_ratio,T4_unity,P1,vix_ratio,63,0.6794,-33.72,True,pipeline
S1_ratio,T4_unity,P2,vix_ratio,63,0.6299,-30.18,True,pipeline
S1_ratio,T1_p25,P2,vix_ratio,126,0.6333,-28.0,True,pipeline
S1_ratio,T1_p50,P2,vix_ratio,126,0.6333,-28.0,True,pipeline
S1_ratio,T1_p75,P1,vix_ratio,126,0.729,-28.55,True,pipeline
S1_ratio,T1_p75,P2,vix_ratio,126,0.6333,-28.0,True,pipeline
S1_ratio,T2_rp25,P2,vix_ratio,126,0.6333,-28.0,True,pipeline
S1_ratio,T2_rp50,P2,vix_ratio,126,0.6333,-28.0,True,pipeline
S1_ratio,T2_rp75,P1,vix_ratio,126,0.599,-33.44,True,pipeline
S1_ratio,T2_rp75,P2,vix_ratio,126,0.6333,-28.0,True,pipeline
S1_ratio,T4_unity,P1,vix_ratio,126,0.7204,-33.72,True,pipeline
S1_ratio,T4_unity,P2,vix_ratio,126,0.6333,-28.0,True,pipeline
S1_ratio,T1_p25,P1,vix_ratio,252,0.3063,-15.18,True,pipeline
S1_ratio,T1_p25,P2,vix_ratio,252,0.7313,-24.74,True,pipeline
S1_ratio,T1_p50,P2,vix_ratio,252,0.7313,-24.74,True,pipeline
S1_ratio,T1_p75,P1,vix_ratio,252,0.6531,-33.72,True,pipeline
S1_ratio,T1_p75,P2,vix_ratio,252,0.7313,-24.74,True,pipeline
S1_ratio,T2_rp25,P2,vix_ratio,252,0.7313,-24.74,True,pipeline
S1_ratio,T2_rp50,P2,vix_ratio,252,0.7313,-24.74,True,pipeline
S1_ratio,T2_rp75,P1,vix_ratio,252,0.6714,-33.72,True,pipeline
S1_ratio,T2_rp75,P2,vix_ratio,252,0.7313,-24.74,True,pipeline
S1_ratio,T4_unity,P1,vix_ratio,252,0.7109,-33.72,True,pipeline
