lead_months,lead_unit,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
1,weeks,150,1.1268,0.6556,0.4933,0.8316,vix_ratio_roc_5d,Trp25_hi,P1,-0.1724
2,weeks,146,1.3779,0.7081,0.5835,0.8413,vix_ratio_roc_5d,Tp90_lo,P2,-0.1564
3,weeks,168,1.1306,0.5884,0.4514,0.7388,vix_ratio_roc_5d,Tz1_lo,P1,-0.197
4,weeks,152,1.1456,0.6534,0.5162,0.7716,vix_ratio_roc_5d,Tp25_hi,P1,-0.1595
5,weeks,157,1.1204,0.6251,0.4894,0.7623,vix_ratio_pctrank_252d,Trp25_lo,P1,-0.0586
6,weeks,152,1.2601,0.6692,0.517,0.7795,vix_ratio_zscore_252d,Tp90_lo,P2,-0.2023
7,weeks,151,1.3279,0.5894,0.5034,0.7233,vix_term_spread,Trp75_hi,P1,-0.0648
8,weeks,167,1.147,0.6128,0.4816,0.7276,vix_ratio_roc_5d,Tp90_hi,P1,-0.0338
9,weeks,153,0.9668,0.6121,0.5187,0.7499,vix_ratio_roc_5d,Trp75_hi,P1,-0.0827
10,weeks,164,1.028,0.6173,0.4583,0.739,vix_ratio_zscore_126d,Tp25_lo,P1,-0.0651
11,weeks,159,1.1241,0.659,0.5217,0.7597,vix_ratio_zscore_252d,Tp25_hi,P1,-0.2551
12,weeks,156,1.2491,0.6445,0.5305,0.772,vix_ratio_zscore_252d,Tp10_hi,P2,-0.2238
13,weeks,156,1.2117,0.68,0.5557,0.8102,vix_ratio,Tp25_hi,P1,-0.1812
14,weeks,151,1.0753,0.707,0.5728,0.8036,vix_ratio_roc_5d,Tp90_lo,P2,-0.3183
15,weeks,152,1.3641,0.6851,0.5432,0.8721,vix_ratio_zscore_126d,Tp10_hi,P2,-0.2108
16,weeks,153,1.6116,0.7278,0.5451,0.8801,vix_ratio_zscore_126d,Tp10_hi,P2,-0.245
17,weeks,165,1.3717,0.6657,0.4857,0.9296,vix_ratio_zscore_126d,Trp25_hi,P1,-0.2207
18,weeks,161,1.1446,0.6991,0.5473,0.8105,vix_term_spread,Tp10_lo,P1,-0.0026
19,weeks,146,1.2328,0.7404,0.5712,0.86,vix_ratio_roc_21d,Tp90_lo,P2,-0.3183
20,weeks,150,1.0793,0.7469,0.5272,0.8417,vix_ratio_roc_5d,Trp25_hi,P1,-0.2023
21,weeks,153,1.455,0.6857,0.5185,0.8013,vix_ratio_roc_5d,Trp75_lo,P2,-0.2263
22,weeks,166,1.0165,0.6375,0.4895,0.7436,vix_ratio_mom_21d,Trp75_hi,P1,-0.1156
23,weeks,168,1.1396,0.6611,0.4874,0.7619,vix_ratio_mom_21d,Tp25_hi,P1,-0.2263
24,weeks,160,1.1551,0.678,0.5078,0.7848,vix_term_spread,Tp90_lo,P2,-0.3183
25,weeks,164,0.9476,0.6181,0.4987,0.7393,vix_ratio_roc_21d,Tz1_hi,P1,-0.0726
26,weeks,139,1.438,0.787,0.6588,0.8917,vix_ratio_roc_5d,Trp75_hi,P1,-0.0575
