date,granger_f_24m,p_value_24m
2009-04-27,0.973592,0.378443
2009-04-28,0.976596,0.377312
2009-04-29,0.954012,0.385897
2009-04-30,0.950691,0.387175
2009-05-01,0.933986,0.393673
2009-05-04,0.888698,0.411843
2009-05-05,0.885371,0.413211
2009-05-06,0.845877,0.429798
2009-05-07,0.863811,0.422184
2009-05-08,0.822077,0.440115
2009-05-11,0.840587,0.43207
2009-05-12,0.854487,0.426125
2009-05-13,0.884216,0.413687
2009-05-14,0.869849,0.419652
2009-05-15,0.912351,0.40225
2009-05-18,0.923012,0.33715
2009-05-19,0.924905,0.336655
2009-05-20,0.956105,0.328643
2009-05-21,1.023873,0.312092
2009-05-22,1.038349,0.308699
2009-05-25,0.991369,0.31989
2009-05-26,0.971618,0.324754
2009-05-27,0.994419,0.319147
2009-05-28,0.979002,0.322924
2009-05-29,0.97006,0.379777
2009-06-01,0.928375,0.39588
2009-06-02,0.90845,0.403817
2009-06-03,0.927621,0.396177
2009-06-04,0.910722,0.402904
2009-06-05,0.909972,0.403205
2009-06-08,0.913987,0.401595
2009-06-09,0.892062,0.410465
2009-06-10,0.896598,0.408614
2009-06-11,0.862399,0.353516
2009-06-12,0.853585,0.426509
2009-06-15,0.947869,0.388265
2009-06-16,0.969479,0.379997
2009-06-17,0.966215,0.381234
2009-06-18,0.968706,0.380289
2009-06-19,0.955567,0.385299
2009-06-22,1.099866,0.294802
2009-06-23,1.115038,0.291499
2009-06-24,1.049531,0.30611
2009-06-25,0.933402,0.334447
2009-06-26,0.917377,0.400241
2009-06-29,0.818577,0.366032
2009-06-30,0.803426,0.370502
2009-07-01,0.783437,0.457397
2009-07-02,0.921292,0.3376
2009-07-03,0.865385,0.352685
2009-07-06,0.901773,0.406512
2009-07-07,1.024179,0.312019
2009-07-08,0.921251,0.337611
2009-07-09,1.041801,0.307897
2009-07-10,1.13947,0.28628
2009-07-13,1.069559,0.301545
2009-07-14,0.841716,0.359349
2009-07-15,0.631543,0.594927
2009-07-16,0.567303,0.636778
2009-07-17,0.481637,0.695193
2009-07-20,0.506333,0.678075
2009-07-21,0.50297,0.680395
2009-07-22,0.505016,0.678984
2009-07-23,0.509414,0.675955
2009-07-24,0.495339,0.685671
2009-07-27,0.523238,0.666483
2009-07-28,0.510009,0.675546
2009-07-29,0.47481,0.699961
2009-07-30,0.458652,0.711304
2009-07-31,0.446194,0.720101
2009-08-03,0.425867,0.734544
2009-08-04,0.415068,0.742258
2009-08-05,0.441325,0.723551
2009-08-06,0.435727,0.727525
2009-08-07,0.424439,0.735563
2009-08-10,0.414246,0.742846
2009-08-11,0.4188,0.73959
2009-08-12,0.407704,0.747533
2009-08-13,0.408994,0.746608
2009-08-14,0.432179,0.730048
2009-08-17,0.444773,0.721107
2009-08-18,0.432231,0.730011
2009-08-19,0.455109,0.713801
2009-08-20,0.449549,0.717727
2009-08-21,0.474127,0.700439
2009-08-24,0.474061,0.700485
2009-08-25,0.464864,0.706934
2009-08-26,0.465746,0.706314
2009-08-27,0.469008,0.704025
2009-08-28,0.461317,0.709427
2009-08-31,0.470876,0.702716
2009-09-01,0.542405,0.653468
2009-09-02,0.567114,0.636903
2009-09-03,0.553888,0.645739
2009-09-04,0.570115,0.634909
2009-09-07,0.576252,0.630841
2009-09-08,0.580911,0.627764
2009-09-09,0.56544,0.638018
2009-09-10,0.543148,0.652966
2009-09-11,0.542114,0.653664
2009-09-14,0.54347,0.652749
2009-09-15,0.519,0.669379
2009-09-16,0.520594,0.668289
2009-09-17,0.520998,0.668013
2009-09-18,0.51407,0.672757
2009-09-21,0.516552,0.671055
2009-09-22,0.523313,0.666431
2009-09-23,0.491401,0.688401
2009-09-24,0.487657,0.691002
2009-09-25,0.498529,0.683462
2009-09-28,0.550137,0.648258
2009-09-29,0.547715,0.649887
2009-09-30,0.550797,0.647814
2009-10-01,0.567944,0.636352
2009-10-02,0.570195,0.634856
2009-10-05,0.572093,0.633596
2009-10-06,0.50116,0.681644
2009-10-07,0.494056,0.686559
2009-10-08,0.49773,0.684015
2009-10-09,0.481589,0.695227
2009-10-12,0.503488,0.680037
2009-10-13,0.486108,0.692079
2009-10-14,0.448151,0.718716
2009-10-15,0.458476,0.711428
2009-10-16,0.419985,0.738743
2009-10-19,0.432637,0.729722
2009-10-20,0.455729,0.713363
2009-10-21,0.470225,0.703171
2009-10-22,0.461301,0.709439
2009-10-23,0.476754,0.698602
2009-10-26,0.502593,0.680654
2009-10-27,0.488392,0.690491
2009-10-28,0.488448,0.613872
2009-10-29,0.472112,0.623963
2009-10-30,0.620378,0.538157
2009-11-02,0.645629,0.524772
2009-11-03,0.627983,0.53409
2009-11-04,0.592781,0.553178
2009-11-05,0.50561,0.603447
2009-11-06,0.483948,0.616635
2009-11-09,0.423548,0.654956
2009-11-10,0.424281,0.654477
2009-11-11,0.433035,0.648782
2009-11-12,0.402077,0.669147
2009-11-13,0.420967,0.656646
2009-11-16,0.440262,0.644118
2009-11-17,0.436785,0.646358
2009-11-18,0.426963,0.652726
2009-11-19,0.420875,0.656706
2009-11-20,0.436138,0.646776
2009-11-23,0.442096,0.642941
2009-11-24,0.463442,0.629386
2009-11-25,0.466146,0.627689
2009-11-26,0.477896,0.620371
2009-11-27,0.513896,0.598478
2009-11-30,0.507931,0.602051
2009-12-01,0.466328,0.627576
2009-12-02,0.441841,0.643104
2009-12-03,0.436957,0.646247
2009-12-04,0.414431,0.660944
2009-12-07,0.413188,0.661765
2009-12-08,0.435456,0.647216
2009-12-09,0.426309,0.653153
2009-12-10,0.428721,0.651582
2009-12-11,0.40355,0.668164
2009-12-14,0.399076,0.671155
2009-12-15,0.404028,0.667845
2009-12-16,0.398113,0.6718
2009-12-17,0.393278,0.675051
2009-12-18,0.367168,0.692881
2009-12-21,0.336469,0.71445
2009-12-22,0.342583,0.710102
2009-12-23,0.348577,0.705864
2009-12-24,0.32664,0.721498
2009-12-25,0.318362,0.727488
2009-12-28,0.350008,0.704856
2009-12-29,0.324984,0.722693
2009-12-30,0.35249,0.703111
2009-12-31,0.368831,0.691731
2010-01-01,0.3631,0.695701
2010-01-04,0.405702,0.666729
2010-01-05,0.445874,0.640521
2010-01-06,0.48347,0.616929
2010-01-07,0.47845,0.620028
2010-01-08,0.469344,0.625689
2010-01-11,0.471952,0.624063
2010-01-12,0.461328,0.630715
2010-01-13,0.443344,0.64214
2010-01-14,0.450676,0.637457
2010-01-15,0.502358,0.605409
2010-01-18,0.52174,0.593811
2010-01-19,0.494615,0.610105
2010-01-20,0.518994,0.595441
2010-01-21,0.576689,0.56213
2010-01-22,0.515525,0.597506
2010-01-25,0.517068,0.596586
2010-01-26,0.553339,0.575381
2010-01-27,0.508415,0.60176
2010-01-28,0.537655,0.584456
2010-01-29,0.564108,0.569231
2010-02-01,0.524178,0.592369
2010-02-02,0.471263,0.624492
2010-02-03,0.469905,0.625339
2010-02-04,0.511118,0.600139
2010-02-05,0.52076,0.594393
2010-02-08,0.549226,0.577746
2010-02-09,0.496494,0.608963
2010-02-10,0.472433,0.623763
2010-02-11,0.460927,0.630968
2010-02-12,0.444143,0.641628
2010-02-15,0.448967,0.638546
2010-02-16,0.424056,0.654624
2010-02-17,0.414463,0.660923
2010-02-18,0.501146,0.606142
2010-02-19,0.526528,0.46841
2010-02-22,0.502223,0.478855
2010-02-23,0.561106,0.454167
2010-02-24,0.543715,0.461243
2010-02-25,0.543014,0.461532
2010-02-26,0.542653,0.461681
2010-03-01,0.547165,0.459825
2010-03-02,0.547955,0.459502
2010-03-03,0.553739,0.457143
2010-03-04,0.552312,0.457724
2010-03-05,0.587774,0.443643
2010-03-08,0.58255,0.445674
2010-03-09,0.582191,0.445814
2010-03-10,0.578203,0.447376
2010-03-11,0.578895,0.447104
2010-03-12,0.577724,0.447564
2010-03-15,0.574577,0.448803
2010-03-16,0.561529,0.453997
2010-03-17,0.52827,0.467675
2010-03-18,0.52696,0.468227
2010-03-19,0.539578,0.462952
2010-03-22,0.554882,0.45668
2010-03-23,0.541275,0.46225
2010-03-24,0.578654,0.447199
2010-03-25,0.584064,0.445084
2010-03-26,0.578686,0.447186
2010-03-29,0.573442,0.449251
2010-03-30,0.580983,0.446287
2010-03-31,0.599938,0.438968
2010-04-01,0.597944,0.439729
2010-04-02,0.594618,0.441003
2010-04-05,0.587898,0.443595
2010-04-06,0.582147,0.445832
2010-04-07,0.597238,0.439999
2010-04-08,0.582805,0.445575
2010-04-09,0.585468,0.444538
2010-04-12,0.534981,0.464863
2010-04-13,0.525197,0.468972
2010-04-14,0.49996,0.479847
2010-04-15,0.517403,0.472288
2010-04-16,0.561398,0.45405
2010-04-19,0.563092,0.45337
2010-04-20,0.617813,0.432233
2010-04-21,0.638059,0.424794
2010-04-22,0.653323,0.419311
2010-04-23,0.594015,0.441235
2010-04-26,0.501422,0.479206
2010-04-27,0.496864,0.48121
2010-04-28,0.367625,0.692565
2010-04-29,0.321245,0.571114
2010-04-30,0.346072,0.556611
2010-05-03,0.325116,0.568806
2010-05-04,0.325423,0.568623
2010-05-05,0.343318,0.558184
2010-05-06,0.403037,0.525816
2010-05-07,0.643089,0.422975
2010-05-10,0.435796,0.646996
2010-05-11,0.370484,0.77434
2010-05-12,0.358448,0.698941
2010-05-13,0.359935,0.697904
2010-05-14,0.37666,0.686345
2010-05-17,0.386613,0.679558
2010-05-18,0.413124,0.661807
2010-05-19,0.424108,0.65459
2010-05-20,0.520509,0.594542
2010-05-21,0.450343,0.637669
2010-05-24,0.477404,0.620676
2010-05-25,0.466727,0.627326
2010-05-26,0.473979,0.622802
2010-05-27,0.370725,0.690424
2010-05-28,0.371626,0.689804
2010-05-31,0.340707,0.711433
2010-06-01,0.364747,0.694558
2010-06-02,0.298326,0.742192
2010-06-03,0.301035,0.740187
2010-06-04,0.318789,0.727177
2010-06-07,0.356612,0.700223
2010-06-08,0.347262,0.706791
2010-06-09,0.343249,0.709629
2010-06-10,0.337884,0.713442
2010-06-11,0.334921,0.715556
2010-06-14,0.348056,0.706231
2010-06-15,0.318418,0.727447
2010-06-16,0.299153,0.741579
2010-06-17,0.261876,0.769712
2010-06-18,0.301654,0.739729
2010-06-21,0.30018,0.740819
2010-06-22,0.306291,0.736311
2010-06-23,0.308788,0.734477
2010-06-24,0.313731,0.73086
2010-06-25,0.309129,0.734227
2010-06-28,0.308761,0.734497
2010-06-29,0.32278,0.724285
2010-06-30,0.340012,0.711927
2010-07-01,0.377162,0.686001
2010-07-02,0.385971,0.679994
2010-07-05,0.379462,0.684428
2010-07-06,0.373378,0.688598
2010-07-07,0.382889,0.68209
