entry_date,exit_date,direction,holding_days,trade_return_pct
2008-02-26,2008-03-10,Long,13,-7.49
2008-03-10,2008-03-11,Cash,1,0.0
2008-03-11,2008-03-14,Long,3,-2.25
2008-03-14,2008-03-18,Cash,4,0.0
2008-03-18,2008-03-19,Long,1,-2.48
2008-03-19,2008-03-20,Cash,1,0.0
2008-03-20,2008-06-30,Long,102,-2.62
2008-06-30,2008-07-01,Cash,1,0.0
2008-07-01,2008-07-02,Long,1,-1.71
2008-07-02,2008-07-08,Cash,6,0.0
2008-07-08,2008-07-09,Long,1,-1.93
2008-07-09,2008-07-21,Cash,12,0.0
2008-07-21,2008-07-28,Long,7,-1.91
2008-07-28,2008-07-29,Cash,1,0.0
2008-07-29,2008-07-31,Long,2,0.44
2008-07-31,2008-08-01,Cash,1,0.0
2008-08-01,2008-08-04,Long,3,-0.93
2008-08-04,2008-08-05,Cash,1,0.0
2008-08-05,2008-09-04,Long,30,-3.37
2008-09-04,2008-10-31,Cash,57,0.0
2008-10-31,2008-11-20,Long,20,-22.08
2008-11-20,2008-11-21,Cash,1,0.0
2008-11-21,2009-09-01,Long,284,28.66
2009-09-01,2009-09-02,Cash,1,0.0
2009-09-02,2009-09-25,Long,23,5.14
2009-09-25,2009-10-12,Cash,17,0.0
2009-10-12,2009-10-14,Long,2,1.51
2009-10-14,2009-10-15,Cash,1,0.0
2009-10-15,2009-10-23,Long,8,-1.49
2009-10-23,2009-11-13,Cash,21,0.0
2009-11-13,2009-11-27,Long,14,-0.05
2009-11-27,2009-12-01,Cash,4,0.0
2009-12-01,2009-12-08,Long,7,-1.52
2009-12-08,2009-12-09,Cash,1,0.0
2009-12-09,2009-12-17,Long,8,0.15
2009-12-17,2009-12-18,Cash,1,0.0
2009-12-18,2009-12-31,Long,13,1.12
2009-12-31,2010-01-04,Cash,4,0.0
2010-01-04,2010-01-21,Long,17,-1.44
2010-01-21,2010-02-18,Cash,28,0.0
2010-02-18,2010-02-22,Long,4,0.23
2010-02-22,2010-02-26,Cash,4,0.0
2010-02-26,2010-04-16,Long,49,8.23
2010-04-16,2010-04-19,Cash,3,0.0
2010-04-19,2010-04-27,Long,8,-1.11
2010-04-27,2010-04-29,Cash,2,0.0
2010-04-29,2010-04-30,Long,1,-1.7
2010-04-30,2010-06-11,Cash,42,0.0
2010-06-11,2010-06-29,Long,18,-4.54
2010-06-29,2010-07-01,Cash,2,0.0
2010-07-01,2010-10-29,Long,120,15.92
2010-10-29,2010-11-03,Cash,5,0.0
2010-11-03,2010-11-16,Long,13,-1.49
2010-11-16,2010-11-18,Cash,2,0.0
2010-11-18,2010-11-23,Long,5,-1.26
2010-11-23,2010-12-01,Cash,8,0.0
2010-12-01,2011-01-19,Long,49,6.54
2011-01-19,2011-01-27,Cash,8,0.0
2011-01-27,2011-01-28,Long,1,-1.75
2011-01-28,2011-02-04,Cash,7,0.0
2011-02-04,2011-02-07,Long,3,0.63
2011-02-07,2011-02-11,Cash,4,0.0
2011-02-11,2011-02-14,Long,3,0.24
2011-02-14,2011-02-18,Cash,4,0.0
2011-02-18,2011-02-22,Long,4,-2.01
2011-02-22,2011-03-23,Cash,29,0.0
2011-03-23,2011-03-28,Long,5,1.02
2011-03-28,2011-03-29,Cash,1,0.0
2011-03-29,2011-05-05,Long,37,1.33
2011-05-05,2011-05-09,Cash,4,0.0
2011-05-09,2011-05-16,Long,7,-1.14
2011-05-16,2011-05-17,Cash,1,0.0
2011-05-17,2011-05-20,Long,3,0.33
2011-05-20,2011-05-26,Cash,6,0.0
2011-05-26,2011-06-01,Long,6,-0.85
2011-06-01,2011-06-22,Cash,21,0.0
2011-06-22,2011-06-23,Long,1,-0.29
2011-06-23,2011-06-29,Cash,6,0.0
2011-06-29,2011-07-12,Long,13,0.52
2011-07-12,2011-07-21,Cash,9,0.0
2011-07-21,2011-07-25,Long,4,-0.49
2011-07-25,2011-08-29,Cash,35,0.0
2011-08-29,2011-09-06,Long,8,-3.6
2011-09-06,2011-09-07,Cash,1,0.0
2011-09-07,2011-09-09,Long,2,-3.63
2011-09-09,2011-09-13,Cash,4,0.0
2011-09-13,2011-09-22,Long,9,-3.65
2011-09-22,2011-09-26,Cash,4,0.0
2011-09-26,2012-05-03,Long,220,21.08
2012-05-03,2012-05-16,Cash,13,0.0
2012-05-16,2012-05-17,Long,1,-1.48
2012-05-17,2012-05-21,Cash,4,0.0
2012-05-21,2012-05-30,Long,9,-0.16
2012-05-30,2012-06-07,Cash,8,0.0
2012-06-07,2012-06-08,Long,1,0.8
2012-06-08,2012-06-12,Cash,4,0.0
2012-06-12,2012-06-13,Long,1,-0.64
2012-06-13,2012-06-14,Cash,1,0.0
2012-06-14,2012-07-10,Long,26,1.02
2012-07-10,2012-07-11,Cash,1,0.0
2012-07-11,2012-07-24,Long,13,-0.17
2012-07-24,2012-07-25,Cash,1,0.0
2012-07-25,2012-07-30,Long,5,3.52
2012-07-30,2012-08-02,Cash,3,0.0
2012-08-02,2012-09-05,Long,34,3.12
2012-09-05,2012-09-06,Cash,1,0.0
2012-09-06,2012-09-10,Long,4,-0.18
2012-09-10,2012-09-13,Cash,3,0.0
2012-09-13,2012-09-26,Long,13,-1.73
2012-09-26,2012-09-27,Cash,1,0.0
2012-09-27,2012-09-28,Long,1,-0.46
2012-09-28,2012-10-03,Cash,5,0.0
2012-10-03,2012-10-09,Long,6,-0.61
2012-10-09,2012-11-12,Cash,34,0.0
2012-11-12,2012-11-14,Long,2,-1.69
2012-11-14,2012-11-16,Cash,2,0.0
2012-11-16,2012-11-27,Long,11,2.9
2012-11-27,2012-11-29,Cash,2,0.0
2012-11-29,2012-11-30,Long,1,0.02
2012-11-30,2013-01-02,Cash,33,0.0
2013-01-02,2013-02-20,Long,49,3.61
2013-02-20,2013-02-27,Cash,7,0.0
2013-02-27,2013-02-28,Long,1,-0.2
2013-02-28,2013-03-01,Cash,1,0.0
2013-03-01,2013-04-15,Long,45,2.43
2013-04-15,2013-04-16,Cash,1,0.0
2013-04-16,2013-04-17,Long,1,-1.46
2013-04-17,2013-04-19,Cash,2,0.0
2013-04-19,2013-05-31,Long,42,5.13
2013-05-31,2013-06-07,Cash,7,0.0
2013-06-07,2013-06-11,Long,4,-1.03
2013-06-11,2013-06-13,Cash,2,0.0
2013-06-13,2013-06-20,Long,7,-2.93
2013-06-20,2013-06-25,Cash,5,0.0
2013-06-25,2013-08-21,Long,57,3.78
2013-08-21,2013-08-22,Cash,1,0.0
2013-08-22,2013-08-27,Long,5,-1.64
2013-08-27,2013-09-04,Cash,8,0.0
2013-09-04,2013-09-27,Long,23,2.4
2013-09-27,2013-10-11,Cash,14,0.0
2013-10-11,2013-10-15,Long,4,-0.33
2013-10-15,2013-10-16,Cash,1,0.0
2013-10-16,2013-12-02,Long,47,4.92
2013-12-02,2013-12-06,Cash,4,0.0
2013-12-06,2013-12-11,Long,5,-1.23
2013-12-11,2013-12-18,Cash,7,0.0
2013-12-18,2014-01-02,Long,15,1.22
2014-01-02,2014-01-03,Cash,1,0.0
2014-01-03,2014-01-24,Long,21,-2.19
2014-01-24,2014-02-07,Cash,14,0.0
2014-02-07,2014-02-19,Long,12,1.86
2014-02-19,2014-02-20,Cash,1,0.0
2014-02-20,2014-03-14,Long,22,0.3
2014-03-14,2014-03-17,Cash,3,0.0
2014-03-17,2014-04-07,Long,21,-0.63
