lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-24,-0.0208,-0.1004,0.1004,False,AR(12),357
-23,-0.034,-0.1004,0.1004,False,AR(12),358
-22,0.0656,-0.1004,0.1004,False,AR(12),359
-21,-0.0832,-0.1004,0.1004,False,AR(12),360
-20,0.0369,-0.1004,0.1004,False,AR(12),361
-19,-0.0055,-0.1004,0.1004,False,AR(12),362
-18,0.016,-0.1004,0.1004,False,AR(12),363
-17,0.0635,-0.1004,0.1004,False,AR(12),364
-16,-0.0264,-0.1004,0.1004,False,AR(12),365
-15,-0.0937,-0.1004,0.1004,False,AR(12),366
-14,0.0455,-0.1004,0.1004,False,AR(12),367
-13,-0.0347,-0.1004,0.1004,False,AR(12),368
-12,0.0161,-0.1004,0.1004,False,AR(12),369
-11,0.0957,-0.1004,0.1004,False,AR(12),370
-10,-0.1033,-0.1004,0.1004,True,AR(12),371
-9,0.0208,-0.1004,0.1004,False,AR(12),372
-8,0.0723,-0.1004,0.1004,False,AR(12),373
-7,-0.0572,-0.1004,0.1004,False,AR(12),374
-6,0.0393,-0.1004,0.1004,False,AR(12),375
-5,-0.0684,-0.1004,0.1004,False,AR(12),376
-4,0.0228,-0.1004,0.1004,False,AR(12),377
-3,0.0165,-0.1004,0.1004,False,AR(12),378
-2,0.0752,-0.1004,0.1004,False,AR(12),379
-1,0.1284,-0.1004,0.1004,True,AR(12),380
0,-0.2668,-0.1004,0.1004,True,AR(12),381
1,0.1359,-0.1004,0.1004,True,AR(12),380
2,-0.0495,-0.1004,0.1004,False,AR(12),379
3,-0.048,-0.1004,0.1004,False,AR(12),378
4,-0.0093,-0.1004,0.1004,False,AR(12),377
5,0.1104,-0.1004,0.1004,True,AR(12),376
6,-0.0445,-0.1004,0.1004,False,AR(12),375
7,-0.0686,-0.1004,0.1004,False,AR(12),374
8,0.0654,-0.1004,0.1004,False,AR(12),373
9,-0.0004,-0.1004,0.1004,False,AR(12),372
10,-0.0313,-0.1004,0.1004,False,AR(12),371
11,0.0427,-0.1004,0.1004,False,AR(12),370
12,-0.103,-0.1004,0.1004,True,AR(12),369
13,0.1184,-0.1004,0.1004,True,AR(12),368
14,-0.0659,-0.1004,0.1004,False,AR(12),367
15,0.0834,-0.1004,0.1004,False,AR(12),366
16,-0.0404,-0.1004,0.1004,False,AR(12),365
17,-0.0147,-0.1004,0.1004,False,AR(12),364
18,0.0097,-0.1004,0.1004,False,AR(12),363
19,-0.0428,-0.1004,0.1004,False,AR(12),362
20,-0.0002,-0.1004,0.1004,False,AR(12),361
21,0.0254,-0.1004,0.1004,False,AR(12),360
22,-0.0152,-0.1004,0.1004,False,AR(12),359
23,-0.0135,-0.1004,0.1004,False,AR(12),358
24,0.0475,-0.1004,0.1004,False,AR(12),357
