signal,horizon,coef,se,t_stat,p_value,r_squared,n
level,spy_fwd_1m,4.5e-05,0.000147,0.308,0.7583,0.0004,393
level,spy_fwd_3m,2.7e-05,0.000438,0.061,0.951,0.0,391
level,spy_fwd_6m,0.000123,0.000816,0.151,0.88,0.0005,388
level,spy_fwd_12m,0.000133,0.001403,0.095,0.9246,0.0002,382
yoy,spy_fwd_1m,4.2e-05,5.2e-05,0.813,0.4162,0.0011,393
yoy,spy_fwd_3m,8.2e-05,0.000146,0.56,0.5755,0.0014,391
yoy,spy_fwd_6m,0.000314,0.000293,1.072,0.2837,0.0099,388
yoy,spy_fwd_12m,0.000913,0.000597,1.529,0.1263,0.0351,382
mom,spy_fwd_1m,0.00035,0.000262,1.338,0.1809,0.0054,393
mom,spy_fwd_3m,0.000748,0.000539,1.389,0.1649,0.0084,391
mom,spy_fwd_6m,0.001008,0.000632,1.594,0.1109,0.007,388
mom,spy_fwd_12m,0.001372,0.000908,1.511,0.1307,0.0055,382
mom3m,spy_fwd_1m,0.00017,0.000114,1.492,0.1358,0.0055,393
mom3m,spy_fwd_3m,0.000198,0.000309,0.641,0.5216,0.0025,391
mom3m,spy_fwd_6m,0.000426,0.000367,1.162,0.2452,0.0054,388
mom3m,spy_fwd_12m,0.000645,0.000553,1.167,0.2431,0.0052,382
mom6m,spy_fwd_1m,0.00012,8.7e-05,1.367,0.1716,0.0055,393
mom6m,spy_fwd_3m,0.000168,0.000189,0.889,0.3741,0.0037,391
mom6m,spy_fwd_6m,0.0004,0.000286,1.398,0.162,0.0097,388
mom6m,spy_fwd_12m,0.00065,0.000605,1.075,0.2824,0.0108,382
diff_3m,spy_fwd_1m,3.6e-05,0.000253,0.143,0.8861,0.0,393
diff_3m,spy_fwd_3m,-0.000621,0.000639,-0.971,0.3316,0.0041,391
diff_3m,spy_fwd_6m,-8.5e-05,0.000845,-0.1,0.9201,0.0,388
diff_3m,spy_fwd_12m,-6.9e-05,0.001453,-0.048,0.9621,0.0,382
diff_12m,spy_fwd_1m,2.3e-05,0.000128,0.182,0.8559,0.0001,393
diff_12m,spy_fwd_3m,-2.5e-05,0.000346,-0.073,0.9419,0.0,391
diff_12m,spy_fwd_6m,0.000648,0.000725,0.893,0.3717,0.0063,388
diff_12m,spy_fwd_12m,0.001637,0.001676,0.977,0.3286,0.0169,382
dev_trend,spy_fwd_1m,0.000135,0.000131,1.034,0.3013,0.0027,393
dev_trend,spy_fwd_3m,0.000188,0.000343,0.548,0.584,0.0018,391
dev_trend,spy_fwd_6m,0.000434,0.000566,0.767,0.4434,0.0044,388
dev_trend,spy_fwd_12m,0.001263,0.001288,0.98,0.327,0.0157,382
level_zscore_60m,spy_fwd_1m,0.001512,0.001523,0.993,0.3209,0.0025,393
level_zscore_60m,spy_fwd_3m,0.002826,0.004343,0.651,0.5152,0.003,391
level_zscore_60m,spy_fwd_6m,0.009253,0.008208,1.127,0.2596,0.0147,388
level_zscore_60m,spy_fwd_12m,0.019061,0.017142,1.112,0.2661,0.0261,382
diff12_zscore_60m,spy_fwd_1m,-0.000134,0.001476,-0.091,0.9274,0.0,393
diff12_zscore_60m,spy_fwd_3m,-0.001499,0.003821,-0.392,0.6949,0.0006,391
diff12_zscore_60m,spy_fwd_6m,0.006531,0.006705,0.974,0.3301,0.0054,388
diff12_zscore_60m,spy_fwd_12m,0.017822,0.014194,1.256,0.2092,0.0168,382
accel,spy_fwd_1m,-1.3e-05,0.00017,-0.077,0.9385,0.0,393
accel,spy_fwd_3m,0.000431,0.000233,1.852,0.064,0.0044,391
accel,spy_fwd_6m,0.000303,0.000301,1.006,0.3145,0.001,388
accel,spy_fwd_12m,0.000314,0.000425,0.74,0.4592,0.0005,382
above50,spy_fwd_1m,-0.002007,0.004742,-0.423,0.6722,0.0005,393
above50,spy_fwd_3m,-0.009342,0.013762,-0.679,0.4972,0.0037,391
above50,spy_fwd_6m,-0.010361,0.026463,-0.392,0.6954,0.0021,388
above50,spy_fwd_12m,-0.010858,0.052351,-0.207,0.8357,0.0009,382
hmm_stress,spy_fwd_1m,0.002798,0.004605,0.608,0.5434,0.001,393
hmm_stress,spy_fwd_3m,0.008964,0.013336,0.672,0.5015,0.0034,391
hmm_stress,spy_fwd_6m,0.0172,0.026809,0.642,0.5211,0.0058,388
hmm_stress,spy_fwd_12m,0.018764,0.054905,0.342,0.7325,0.0029,382
