transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
nahb_hmi,+0.020,+0.005,-0.001,+0.018,+0.032,+0.016,+0.008,+0.019,+0.008,-0.001,-0.003,-0.007,+0.015,L4,+0.032
nahb_hmi_pct_yoy,+0.034,+0.022,+0.014,+0.041,+0.068,+0.083,+0.094,+0.097,+0.059,+0.091,+0.076,+0.050,+0.082,L7,+0.097
nahb_hmi_pct_mom,+0.073,+0.078,+0.005,-0.061,+0.079,+0.008,-0.001,+0.042,-0.008,+0.032,+0.047,-0.063,+0.003,L4,+0.079
nahb_hmi_3m_pct,+0.074,-0.006,+0.020,+0.038,+0.028,+0.014,+0.026,+0.040,+0.034,+0.000,-0.005,-0.018,+0.050,L0,+0.074
nahb_hmi_6m_pct,+0.074,+0.024,+0.004,+0.018,+0.052,+0.052,+0.017,+0.014,-0.001,+0.027,+0.041,+0.084,+0.120*,L12,+0.120
nahb_hmi_diff_3m,+0.006,-0.068,-0.043,+0.023,+0.032,+0.020,+0.023,+0.057,+0.037,-0.041,-0.026,-0.033,+0.073,L12,+0.073
nahb_hmi_diff_12m,+0.007,-0.003,-0.011,+0.045,+0.089,+0.073,+0.076,+0.084,+0.059,+0.048,+0.032,+0.022,+0.062,L4,+0.089
nahb_hmi_dev_trend_pct,+0.052,+0.026,-0.005,+0.008,+0.050,+0.030,+0.043,+0.058,+0.045,+0.067,+0.073,+0.069,+0.115*,L12,+0.115
nahb_hmi_zscore_60m,+0.050,+0.027,+0.021,+0.059,+0.088,+0.069,+0.049,+0.077,+0.061,+0.044,+0.048,+0.048,+0.083,L4,+0.088
nahb_hmi_diff12_zscore_60m,-0.004,-0.016,-0.024,+0.046,+0.097,+0.076,+0.068,+0.088,+0.064,+0.042,+0.043,+0.038,+0.084,L4,+0.097
nahb_hmi_accel_pct,-0.003,+0.058,+0.053,-0.112*,+0.057,+0.007,-0.034,+0.039,-0.032,-0.012,+0.088,-0.052,-0.020,L3,-0.112
nahb_hmi_above50,-0.022,-0.043,-0.028,-0.011,+0.013,+0.001,-0.003,+0.014,+0.001,+0.014,-0.027,-0.004,+0.030,L1,-0.043
