date,rolling_corr,n_obs,window_start
1998-08-31,-0.1169,60,1993-09-30
1998-09-30,-0.0863,60,1993-10-31
1998-10-31,-0.0702,60,1993-11-30
1998-11-30,-0.0526,60,1993-12-31
1998-12-31,-0.0475,60,1994-01-31
1999-01-31,-0.0586,60,1994-02-28
1999-02-28,-0.0287,60,1994-03-31
1999-03-31,-0.0182,60,1994-04-30
1999-04-30,-0.0313,60,1994-05-31
1999-05-31,0.0048,60,1994-06-30
1999-06-30,-0.032,60,1994-07-31
1999-07-31,-0.0538,60,1994-08-31
1999-08-31,-0.0525,60,1994-09-30
1999-09-30,-0.0493,60,1994-10-31
1999-10-31,-0.0381,60,1994-11-30
1999-11-30,-0.032,60,1994-12-31
1999-12-31,-0.0485,60,1995-01-31
2000-01-31,-0.0557,60,1995-02-28
2000-02-29,-0.0478,60,1995-03-31
2000-03-31,-0.0403,60,1995-04-30
2000-04-30,-0.0292,60,1995-05-31
2000-05-31,-0.029,60,1995-06-30
2000-06-30,-0.0064,60,1995-07-31
2000-07-31,-0.042,60,1995-08-31
2000-08-31,0.0144,60,1995-09-30
2000-09-30,-0.0002,60,1995-10-31
2000-10-31,0.0731,60,1995-11-30
2000-11-30,0.0882,60,1995-12-31
2000-12-31,0.0868,60,1996-01-31
2001-01-31,0.18,60,1996-02-29
2001-02-28,0.2268,60,1996-03-31
2001-03-31,0.1728,60,1996-04-30
2001-04-30,0.1804,60,1996-05-31
2001-05-31,0.1923,60,1996-06-30
2001-06-30,0.1977,60,1996-07-31
2001-07-31,0.2295,60,1996-08-31
2001-08-31,0.2636,60,1996-09-30
2001-09-30,0.2559,60,1996-10-31
2001-10-31,0.2103,60,1996-11-30
2001-11-30,0.2351,60,1996-12-31
2001-12-31,0.2153,60,1997-01-31
2002-01-31,0.2178,60,1997-02-28
2002-02-28,0.234,60,1997-03-31
2002-03-31,0.2269,60,1997-04-30
2002-04-30,0.2241,60,1997-05-31
2002-05-31,0.2596,60,1997-06-30
2002-06-30,0.2908,60,1997-07-31
2002-07-31,0.2972,60,1997-08-31
2002-08-31,0.2656,60,1997-09-30
2002-09-30,0.264,60,1997-10-31
2002-10-31,0.2686,60,1997-11-30
2002-11-30,0.265,60,1997-12-31
2002-12-31,0.2655,60,1998-01-31
2003-01-31,0.2761,60,1998-02-28
2003-02-28,0.2842,60,1998-03-31
2003-03-31,0.2648,60,1998-04-30
2003-04-30,0.2778,60,1998-05-31
2003-05-31,0.2754,60,1998-06-30
2003-06-30,0.2802,60,1998-07-31
2003-07-31,0.3218,60,1998-08-31
2003-08-31,0.3137,60,1998-09-30
2003-09-30,0.2952,60,1998-10-31
2003-10-31,0.2805,60,1998-11-30
2003-11-30,0.2484,60,1998-12-31
2003-12-31,0.2367,60,1999-01-31
2004-01-31,0.2601,60,1999-02-28
2004-02-29,0.2402,60,1999-03-31
2004-03-31,0.2122,60,1999-04-30
2004-04-30,0.2296,60,1999-05-31
2004-05-31,0.2092,60,1999-06-30
2004-06-30,0.2334,60,1999-07-31
2004-07-31,0.2472,60,1999-08-31
2004-08-31,0.2736,60,1999-09-30
2004-09-30,0.2602,60,1999-10-31
2004-10-31,0.2733,60,1999-11-30
2004-11-30,0.276,60,1999-12-31
2004-12-31,0.2874,60,2000-01-31
2005-01-31,0.2993,60,2000-02-29
2005-02-28,0.2855,60,2000-03-31
2005-03-31,0.2845,60,2000-04-30
2005-04-30,0.2868,60,2000-05-31
2005-05-31,0.2903,60,2000-06-30
2005-06-30,0.291,60,2000-07-31
2005-07-31,0.3187,60,2000-08-31
2005-08-31,0.3112,60,2000-09-30
2005-09-30,0.3057,60,2000-10-31
2005-10-31,0.2976,60,2000-11-30
2005-11-30,0.2976,60,2000-12-31
2005-12-31,0.3318,60,2001-01-31
2006-01-31,0.2637,60,2001-02-28
2006-02-28,0.2247,60,2001-03-31
2006-03-31,0.3009,60,2001-04-30
2006-04-30,0.3069,60,2001-05-31
2006-05-31,0.2979,60,2001-06-30
2006-06-30,0.2886,60,2001-07-31
2006-07-31,0.2184,60,2001-08-31
2006-08-31,0.1041,60,2001-09-30
2006-09-30,0.0833,60,2001-10-31
2006-10-31,0.0902,60,2001-11-30
2006-11-30,0.0782,60,2001-12-31
2006-12-31,0.0538,60,2002-01-31
2007-01-31,0.0908,60,2002-02-28
2007-02-28,0.0768,60,2002-03-31
2007-03-31,0.0146,60,2002-04-30
2007-04-30,-0.0256,60,2002-05-31
2007-05-31,-0.0396,60,2002-06-30
2007-06-30,-0.0438,60,2002-07-31
2007-07-31,-0.0453,60,2002-08-31
2007-08-31,-0.027,60,2002-09-30
2007-09-30,-0.0408,60,2002-10-31
2007-10-31,-0.0204,60,2002-11-30
2007-11-30,0.0135,60,2002-12-31
2007-12-31,0.0643,60,2003-01-31
2008-01-31,0.0865,60,2003-02-28
2008-02-29,0.0978,60,2003-03-31
2008-03-31,0.0877,60,2003-04-30
2008-04-30,0.0576,60,2003-05-31
2008-05-31,0.0767,60,2003-06-30
2008-06-30,0.0723,60,2003-07-31
2008-07-31,0.0587,60,2003-08-31
2008-08-31,0.1005,60,2003-09-30
2008-09-30,0.1313,60,2003-10-31
2008-10-31,0.1471,60,2003-11-30
2008-11-30,0.1441,60,2003-12-31
2008-12-31,0.143,60,2004-01-31
2009-01-31,0.1369,60,2004-02-29
2009-02-28,0.1369,60,2004-03-31
2009-03-31,0.1519,60,2004-04-30
2009-04-30,0.1541,60,2004-05-31
2009-05-31,0.1467,60,2004-06-30
2009-06-30,0.1586,60,2004-07-31
2009-07-31,0.1598,60,2004-08-31
2009-08-31,0.1558,60,2004-09-30
2009-09-30,0.1534,60,2004-10-31
2009-10-31,0.1266,60,2004-11-30
2009-11-30,0.111,60,2004-12-31
2009-12-31,0.1195,60,2005-01-31
2010-01-31,0.1184,60,2005-02-28
2010-02-28,0.1508,60,2005-03-31
2010-03-31,0.1675,60,2005-04-30
2010-04-30,0.1162,60,2005-05-31
2010-05-31,0.0896,60,2005-06-30
2010-06-30,0.1131,60,2005-07-31
2010-07-31,0.0892,60,2005-08-31
2010-08-31,0.1314,60,2005-09-30
2010-09-30,0.1606,60,2005-10-31
2010-10-31,0.1412,60,2005-11-30
2010-11-30,0.1683,60,2005-12-31
2010-12-31,0.1695,60,2006-01-31
2011-01-31,0.1793,60,2006-02-28
2011-02-28,0.175,60,2006-03-31
2011-03-31,0.1771,60,2006-04-30
2011-04-30,0.1849,60,2006-05-31
2011-05-31,0.18,60,2006-06-30
2011-06-30,0.1719,60,2006-07-31
2011-07-31,0.1538,60,2006-08-31
2011-08-31,0.1303,60,2006-09-30
2011-09-30,0.1547,60,2006-10-31
2011-10-31,0.1553,60,2006-11-30
2011-11-30,0.1592,60,2006-12-31
2011-12-31,0.17,60,2007-01-31
2012-01-31,0.168,60,2007-02-28
2012-02-29,0.1866,60,2007-03-31
2012-03-31,0.2273,60,2007-04-30
2012-04-30,0.2533,60,2007-05-31
2012-05-31,0.2705,60,2007-06-30
2012-06-30,0.2606,60,2007-07-31
2012-07-31,0.2847,60,2007-08-31
2012-08-31,0.3255,60,2007-09-30
2012-09-30,0.3133,60,2007-10-31
2012-10-31,0.2937,60,2007-11-30
2012-11-30,0.2918,60,2007-12-31
2012-12-31,0.2864,60,2008-01-31
2013-01-31,0.2715,60,2008-02-29
2013-02-28,0.2796,60,2008-03-31
2013-03-31,0.2917,60,2008-04-30
2013-04-30,0.2923,60,2008-05-31
2013-05-31,0.2382,60,2008-06-30
2013-06-30,0.2558,60,2008-07-31
2013-07-31,0.2236,60,2008-08-31
2013-08-31,0.1881,60,2008-09-30
2013-09-30,0.102,60,2008-10-31
2013-10-31,0.0574,60,2008-11-30
2013-11-30,0.0604,60,2008-12-31
2013-12-31,-0.014,60,2009-01-31
2014-01-31,-0.0656,60,2009-02-28
2014-02-28,-0.0385,60,2009-03-31
2014-03-31,-0.0065,60,2009-04-30
2014-04-30,0.013,60,2009-05-31
2014-05-31,0.0075,60,2009-06-30
2014-06-30,0.0473,60,2009-07-31
2014-07-31,0.068,60,2009-08-31
2014-08-31,0.0855,60,2009-09-30
2014-09-30,0.057,60,2009-10-31
2014-10-31,0.0991,60,2009-11-30
2014-11-30,0.1071,60,2009-12-31
2014-12-31,0.0962,60,2010-01-31
2015-01-31,0.0841,60,2010-02-28
2015-02-28,0.116,60,2010-03-31
2015-03-31,0.1171,60,2010-04-30
2015-04-30,0.0962,60,2010-05-31
2015-05-31,0.0955,60,2010-06-30
2015-06-30,0.0945,60,2010-07-31
2015-07-31,0.1167,60,2010-08-31
2015-08-31,0.1353,60,2010-09-30
2015-09-30,0.136,60,2010-10-31
2015-10-31,0.1358,60,2010-11-30
2015-11-30,0.1416,60,2010-12-31
2015-12-31,0.1347,60,2011-01-31
2016-01-31,0.143,60,2011-02-28
2016-02-29,0.1339,60,2011-03-31
2016-03-31,0.1505,60,2011-04-30
2016-04-30,0.1352,60,2011-05-31
2016-05-31,0.1211,60,2011-06-30
2016-06-30,0.0997,60,2011-07-31
