# Simulated trade record based on backtest signals. No real trades were executed. Starting capital: $10000. Commission: 5 bps. Pair: wells_fargo_housing_spy (MONTHLY rebalance). Strategy: P1_long_cash_pro on diff_12m (nahb_hmi_diff_12m), threshold T2_roll_p25, lead L7 months, LB60.
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
1996-08-31,BUY,SPY,100.0,38.9792,10000.0,5,5.0,1.9259,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 14.000 vs threshold -12.000 — position 0% -> 100%
1997-11-30,SELL,SPY,0.0,58.2908,10000.0,5,5.0,46.7451,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -4.000 vs threshold -4.000 — position 100% -> 0%
1998-01-31,BUY,SPY,100.0,60.1675,10000.0,5,5.0,48.6348,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -3.000 vs threshold -4.000 — position 0% -> 100%
2000-05-31,SELL,SPY,0.0,89.7153,10000.0,5,5.0,125.1686,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -4.000 vs threshold -2.250 — position 100% -> 0%
2001-10-31,BUY,SPY,100.0,67.6169,10000.0,5,5.0,128.1007,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -4.000 vs threshold -6.000 — position 0% -> 100%
2002-05-31,SELL,SPY,0.0,68.957,10000.0,5,5.0,134.0102,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -16.000 vs threshold -6.250 — position 100% -> 0%
2002-07-31,BUY,SPY,100.0,58.8335,10000.0,5,5.0,115.5657,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -2.000 vs threshold -7.000 — position 0% -> 100%
2006-06-30,SELL,SPY,0.0,88.1346,10000.0,5,5.0,222.0846,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -9.000 vs threshold -2.000 — position 100% -> 0%
2008-01-31,BUY,SPY,100.0,97.8449,10000.0,5,5.0,202.6111,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -14.000 vs threshold -14.500 — position 0% -> 100%
2008-08-31,SELL,SPY,0.0,92.6488,10000.0,5,5.0,182.1801,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -16.000 vs threshold -16.000 — position 100% -> 0%
2008-11-30,BUY,SPY,100.0,65.184,10000.0,5,5.0,162.5386,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = -13.000 vs threshold -16.000 — position 0% -> 100%
2014-09-30,SELL,SPY,0.0,161.8478,10000.0,5,5.0,560.9861,P1_long_cash_pro: diff_12m (nahb_hmi_diff_12m) = 0.000 vs threshold 0.750 — position 100% -> 0%
