date,signal_value,threshold,position,spy_return,strategy_return,cumulative_return
1993-02-28,,0.5682,1.0,0.010669,0.010669,0.010669
1993-03-31,,0.5682,1.0,0.022399,0.022399,0.033307
1993-04-30,-0.3295,0.5682,1.0,-0.025588,-0.025588,0.006867
1993-05-31,-11.7359,0.5682,1.0,0.026969,0.026969,0.034021
1993-06-30,3.9669,0.5682,0.0,0.003607,0.0,0.034021
1993-07-31,4.1322,0.5682,0.0,-0.004854,-0.0,0.034021
1993-08-31,18.1902,0.5682,0.0,0.038327,0.0,0.034021
1993-09-30,-0.318,0.5682,1.0,-0.007275,-0.007275,0.026498
1993-10-31,3.1746,0.5682,0.0,0.019727,0.0,0.026498
1993-11-30,4.9219,0.5682,0.0,-0.010673,-0.0,0.026498
1993-12-31,11.0048,0.5682,0.0,0.012276,0.0,0.026498
1994-01-31,5.8462,0.5682,0.0,0.034876,0.0,0.026498
1994-02-28,14.1474,0.5682,0.0,-0.029164,-0.0,0.026498
1994-03-31,-8.6207,0.5682,1.0,-0.041902,-0.041902,-0.016514
1994-04-30,-2.8343,0.5682,1.0,0.011212,0.011212,-0.005487
1994-05-31,2.0222,0.5682,0.0,0.015939,0.0,-0.005487
1994-06-30,15.173,0.5682,0.0,-0.022914,-0.0,-0.005487
1994-07-31,14.1361,0.5682,0.0,0.032326,0.0,-0.005487
1994-08-31,-9.9105,0.5682,1.0,0.038121,0.038121,0.032425
1994-09-30,-1.7747,0.5682,1.0,-0.025254,-0.025254,0.006352
1994-10-31,-4.9803,0.5682,1.0,0.028426,0.028426,0.034958
1994-11-30,4.6132,0.5682,0.0,-0.039816,-0.0,0.034958
1994-12-31,0.7644,0.5682,0.0,0.007281,0.0,0.034958
1995-01-31,4.2069,0.5682,0.0,0.033608,0.0,0.034958
1995-02-28,-1.289,0.5682,1.0,0.040809,0.040809,0.077194
1995-03-31,-2.9655,0.5682,1.0,0.027848,0.027848,0.107192
1995-04-30,-12.9054,0.5682,1.0,0.029623,0.029623,0.13999
1995-05-31,-14.1581,0.5682,1.0,0.039673,0.039673,0.185217
1995-06-30,-9.9502,0.5682,1.0,0.02023,0.02023,0.209194
1995-07-31,-0.152,0.5682,1.0,0.032166,0.032166,0.248089
1995-08-31,2.562,0.5682,0.0,0.004451,0.0,0.248089
1995-09-30,15.3118,0.5682,0.0,0.042376,0.0,0.248089
1995-10-31,7.7626,0.5682,0.0,-0.002938,-0.0,0.248089
1995-11-30,6.8696,0.5682,0.0,0.04448,0.0,0.248089
1995-12-31,-6.2971,0.5682,1.0,0.015733,0.015733,0.267725
1996-01-31,2.5424,0.5682,0.0,0.035578,0.0,0.267725
1996-02-29,4.5289,0.5682,0.0,0.00319,0.0,0.267725
1996-03-31,7.1585,0.5682,0.0,0.017218,0.0,0.267725
1996-04-30,2.686,0.5682,0.0,0.01087,0.0,0.267725
1996-05-31,-0.4892,0.5682,1.0,0.0227,0.0227,0.296502
1996-06-30,3.3401,0.5682,0.0,0.008822,0.0,0.296502
1996-07-31,0.8719,0.5682,0.0,-0.044936,-0.0,0.296502
1996-08-31,3.0197,0.5682,0.0,0.019259,0.0,0.296502
1996-09-30,-2.9024,0.5682,1.0,0.055872,0.055872,0.368941
1996-10-31,3.5239,0.5682,0.0,0.032332,0.0,0.368941
